App Name,Category,Rating,Free,Price,Installs,Size,Content Rating,Ad Supported,In App Purchases
"St. Thomas Knanaya Catholic Church, Mankuzhy",Communication,0.0,True,0.0,1+,14M,Everyone,False,False
Gaple Live,Card,3.3,True,0.0,"5,000+",47M,Everyone,False,True
Handwriting Improvements,Education,0.0,True,0.0,5+,6.8M,Everyone,True,False
AudioBrain Business,Business,4.8,False,0.99,"1,000+",6.6M,Everyone,False,False
Hungary Tourist Map Offline,Maps & Navigation,0.0,True,0.0,100+,3.4M,Everyone 10+,True,False
Viacrucis,Lifestyle,0.0,True,0.0,"5,000+",5.3M,Everyone,True,False
MelodicPop,Education,0.0,True,0.0,50+,7.2M,Everyone,True,False
English to Icelandic Translate,Travel & Local,0.0,True,0.0,50+,15M,Everyone,True,False
Ladybird Match 3 🐞 : swipe to crush,Puzzle,4.6,True,0.0,"5,000+",39M,Everyone,True,False
CellAnalyzer,Tools,0.0,True,0.0,10+,2.1M,Everyone,False,False
Poser India Pvt. Ltd. (Online Shopping Mobile App),Shopping,4.5,True,0.0,10+,2.7M,Everyone,False,False
Guess What,Trivia,0.0,True,0.0,50+,6.9M,Everyone,False,False
Text on photo 2020,Photography,0.0,True,0.0,5+,25M,Teen,True,False
ASH Messenger,Communication,5.0,True,0.0,100+,68M,Teen,False,False
Puzzle Game,Strategy,0.0,True,0.0,10+,6.7M,Everyone,False,False
數碼寶貝：靈魂獵手 Season3,Action,3.9,True,0.0,"100,000+",145M,Everyone,False,True
York.MBA,Education,5.0,True,0.0,"1,000+",11M,Everyone,False,False
Break Free Fitness,Health & Fitness,0.0,True,0.0,10+,151M,Everyone,False,False
CANACO Chihuahua,Productivity,0.0,True,0.0,100+,Varies with device,Everyone,False,False
Fashion Women Handbags Photo Montage,Lifestyle,0.0,True,0.0,500+,12M,Everyone,True,False
AMP Cinque Terre,Maps & Navigation,0.0,True,0.0,100+,21M,Everyone,False,False
Multi Uninstaller,Tools,3.6,True,0.0,"1,000+",2.9M,Everyone,True,False
KC2Go,Food & Drink,3.0,True,0.0,500+,Varies with device,Everyone,False,False
EdiGreen NCTU,Weather,0.0,True,0.0,"5,000+",21M,Everyone,False,False
Cellar Wine Shop,Shopping,0.0,True,0.0,100+,27M,Mature 17+,False,False
Receipt Book,Business,3.5,False,0.99,"5,000+",251k,Everyone,False,False
Hardback,Board,4.1,False,4.99,"1,000+",100M,Everyone,False,False
chooseYourOwnDeath,Adventure,0.0,True,0.0,10+,260k,Teen,False,False
LEAP Health,Health & Fitness,0.0,True,0.0,10+,9.6M,Everyone,False,False
Spoken WBS,Education,2.5,True,0.0,"1,000+",20M,Everyone,False,False
Costa Rica Radio : Online Radio & FM AM Radio,Music & Audio,4.4,True,0.0,100+,6.9M,Everyone,True,False
Aneka Herbal Penurun Gula Darah Efektif,Health & Fitness,4.8,True,0.0,"1,000+",6.2M,Everyone,True,False
Unit Converter in Marathi,Tools,0.0,True,0.0,"1,000+",5.8M,Everyone,True,True
Delkash Tasnif Cassette,Music & Audio,4.4,True,0.0,"50,000+",3.5M,Everyone,False,False
Mutley Barbers,Lifestyle,4.9,True,0.0,"1,000+",2.1M,Everyone,False,False
Vyomy 3D Hologram Earth & Moon,Video Players & Editors,3.7,True,0.0,"100,000+",4.3M,Everyone,True,True
radiofazcabos,Music & Audio,5.0,True,0.0,50+,7.3M,Everyone,True,False
Hair salon : monsters,Role Playing,3.8,True,0.0,"1,000,000+",25M,Everyone,True,False
Order Alert for Lightspeed,Productivity,3.1,True,0.0,"1,000+",7.0M,Everyone,False,True
JACK,Productivity,0.0,True,0.0,10+,5.5M,Teen,False,False
Allysse par Flandre Lys,Communication,4.5,True,0.0,"1,000+",31M,Everyone,False,False
Arabic Urdu dictionary,Books & Reference,4.0,True,0.0,"100,000+",7.8M,Everyone,True,False
Far East Broadcasting Company,Education,4.9,True,0.0,"1,000+",34M,Teen,False,False
Clawd Technologies,Business,0.0,True,0.0,50+,37M,Everyone,False,False
الاعجاز العلمى في القران والسنة بدون نت النابلسي,Music & Audio,4.8,True,0.0,"10,000+",61M,Everyone,True,False
K-ROCK 97.5,Music & Audio,4.6,True,0.0,"5,000+",9.4M,Everyone,True,False
Big City Radio,Music & Audio,4.5,True,0.0,"1,000+",19M,Teen,True,False
Ms Fortune,Casual,3.4,True,0.0,100+,3.2M,Everyone 10+,True,False
Holdem or Foldem - Poker Texas Holdem,Card,4.4,True,0.0,"1,000,000+",170M,Teen,True,True
Grocery Shopping List,Tools,4.0,True,0.0,"1,000+",1.4M,Everyone,False,False
Pakistani Cooking Recipes Urdu,Education,4.2,True,0.0,"10,000+",3.7M,Everyone,True,False
Academic Journals & Conferences,Books & Reference,4.2,True,0.0,"10,000+",16M,Everyone,True,False
Eben Radio,Music & Audio,4.4,True,0.0,"10,000+",22M,Everyone,True,False
Hancock Whitney Tablet,Finance,4.1,True,0.0,"1,000+",Varies with device,Everyone,False,False
Bombing Bastards: Touch!,Action,4.2,True,0.0,"100,000+",21M,Teen,True,False
Martin Garix - Virus DJ LaunchPad MIX,Music,0.0,True,0.0,100+,9.1M,Everyone,True,False
NB|AZ Positive Pay,Finance,0.0,True,0.0,100+,43M,Everyone,False,False
Meditation Timer & Log,Health & Fitness,4.5,True,0.0,"50,000+",56M,Everyone,False,True
Socialride - Crowdfunding,Social,2.7,True,0.0,"1,000+",21M,Teen,False,False
Open Door Ohio Church,Lifestyle,0.0,True,0.0,50+,52M,Everyone,False,False
Betsperts,Sports,3.6,True,0.0,"10,000+",77M,Everyone,False,True
All In One Booking,Business,0.0,True,0.0,10+,2.1M,Everyone,False,False
English To Khmer Dictionary,Books & Reference,0.0,True,0.0,100+,1.6M,Everyone,True,False
COPD GOLD,Medical,5.0,True,0.0,"1,000+",2.4M,Everyone,True,False
BlackiNation,Social,4.2,True,0.0,100+,1.2M,Teen,False,False
African Men Fashion Style Design 2021,Lifestyle,4.0,True,0.0,"1,000+",20M,Everyone,True,False
Montammy GC,Lifestyle,0.0,True,0.0,50+,129M,Everyone,False,False
